"RowName","Distance"
"Uitgeest                                ",3179.78276144771
"Waalwijk                                ",3767.60694207875
"Oldebroek                               ",4305.4860434102
"Leiden                                  ",4552.52534863893
"Simpelveld                              ",4779.95789939619
"Leudal                                  ",5079.24681325883
"Doetinchem                              ",5100.58050029602
"Koggenland                              ",5182.56648486057
"Aalsmeer                                ",5239.64865711433
"Dijk en Waard                           ",4447.86545884652
"Wijk bij Duurstede                      ",4567.83179856702
"Buren                                   ",5268.43516710607
"Tynaarlo                                ",5434.17733424297
"Nuenen, Gerwen en Nederwetten           ",5618.72164642457
"Enschede                                ",6924.03862063175
"Noord-Beveland                          ",7000.20129853421
"Geldrop-Mierlo                          ",7112.7128221235
"Stede Broec                             ",7895.93553228495
"Ommen                                   ",8127.21671730242
"Heemstede                               ",1848.45668870006
"Eemsdelta                               ",1912.47002329448
"Soest                                   ",2072.60470181846
"West Betuwe                             ",2228.24131323338
"Bergeijk                                ",2547.50172522022
"Oegstgeest                              ",2742.4730190104
"Cranendonck                             ",3320.15664540094
"Neder-Betuwe                            ",3339.70990356947
"Bladel                                  ",3467.44807170922
"Rijswijk                                ",3485.74344867777
"Alkmaar                                 ",28396.3191179772
"Maassluis                               ",29841.2602961068
"Deurne                                  ",31675.3721282008
"Leeuwarden                              ",33721.2832055662
"Dongen                                  ",33898.6528533215
"Velsen                                  ",34504.2159651542
"Amstelveen                              ",34761.7349869077
"Hilvarenbeek                            ",34866.0768543007
"Alphen aan den Rijn                     ",36899.3635263537
"Westerwolde                             ",37012.1590099794
"Geldrop-Mierlo                          ",2689.424113077
"Son en Breugel                          ",2870.0547468646
"Tubbergen                               ",3258.69316597927
"Duiven                                  ",3419.5440003018
"Bernheze                                ",4347.85200185103
"Ommen                                   ",4867.77137302072
"Twenterand                              ",4993.17208095215
"Oirschot                                ",5497.15135956797
"Tynaarlo                                ",5690.84899202219
"Den Helder                              ",5970.33064578504
"Velsen                                  ",7820.54665800288
"Opsterland                              ",15899.8569207399
"Alkmaar                                 ",16091.1704990656
"Pijnacker-Nootdorp                      ",17298.9084944687
"Hellevoetsluis                          ",17991.6793321246
"Alphen aan den Rijn                     ",18480.5376309782
"Amstelveen                              ",19438.093786686
"Hilvarenbeek                            ",19793.1204748013
"Sint-Michielsgestel                     ",20026.6194381378
"Westerwolde                             ",20708.7030279542
"Uitgeest                                ",7621.31679239224
"Hulst                                   ",8111.91328725844
"Aalsmeer                                ",8212.2349680218
"Maashorst                               ",8401.57857012597
"Oldebroek                               ",8508.96639610241
"Overbetuwe                              ",8875.97195522834
"Waalwijk                                ",9078.82235039325
"Culemborg                               ",9263.77273145234
"Helmond                                 ",9443.55793014476
"Best                                    ",9648.54015952672
"Nijmegen                                ",6602.67173801636
"Pijnacker-Nootdorp                      ",10545.2376976529
"Hellevoetsluis                          ",11510.6062459803
"Hendrik-Ido-Ambacht                     ",11548.852848227
"Amstelveen                              ",14630.1918346958
"Hilvarenbeek                            ",14943.5990715088
"Sint-Michielsgestel                     ",15628.7035681147
"Scherpenzeel                            ",16711.2888868573
"Heerenveen                              ",17095.5883288643
"De Ronde Venen                          ",17961.3414064763
"Dalfsen                                 ",4447.86545884652
"Stede Broec                             ",5429.26177210125
"Buren                                   ",5867.69326311456
"Westland                                ",7205.24712969652
"Wijk bij Duurstede                      ",7278.22894666003
"Nuenen, Gerwen en Nederwetten           ",7385.93976958924
"Oosterhout                              ",7422.69645816128
"Woerden                                 ",7778.10170607199
"Voorschoten                             ",7798.64959464137
"Borsele                                 ",8715.61806701051
"Schouwen-Duiveland                      ",1305.73429915891
"Lansingerland                           ",2061.55524543971
"Schagen                                 ",2421.31392636312
"Utrechtse Heuvelrug                     ",2471.58997813149
"Ooststellingwerf                        ",2707.88054758699
"Landgraaf                               ",2712.09591091466
