ID;WijkenEnBuurten;Gemeentenaam_1;PercentageEengezinswoning_36;PercentageMeergezinswoning_37;BouwjaarVoor2000_45;BouwjaarVanaf2000_46;AfstandTotHuisartsenpraktijk_105;AfstandTotGroteSupermarkt_106;AfstandTotKinderdagverblijf_107;AfstandTotSchool_108;MateVanStedelijkheid_115;Omgevingsadressendichtheid_116
13289;GM0971;Stein                                   ;82;18;90;10;0.8;0.9;0.7;0.8;4;901
13306;GM1904;Stichtse Vecht                          ;75;25;89;11;0.9;0.9;0.7;0.7;3;1172
13416;GM1900;Sœdwest-Frysl‰n                         ;82;18;86;14;1.6;1.4;0.9;1.0;4;832
13593;GM0715;Terneuzen                               ;81;19;89;11;1.1;1.1;0.8;0.9;4;871
13665;GM0093;Terschelling                            ;79;21;84;16;1.4;0.8;1.3;0.7;5;248
13688;GM0448;Texel                                   ;81;19;86;14;2.8;1.0;1.2;1.2;5;468
13704;GM1525;Teylingen                               ;75;25;81;19;0.6;0.7;0.5;0.6;3;1382
13719;GM0716;Tholen                                  ;90;10;83;17;0.8;1.1;0.7;0.7;5;476
13745;GM0281;Tiel                                    ;74;26;87;13;1.4;0.9;0.7;0.9;3;1421
13780;GM0855;Tilburg                                 ;64;36;81;19;0.7;0.7;0.5;0.6;1;2781
14090;GM0183;Tubbergen                               ;77;23;77;23;1.8;1.7;1.0;1.1;5;282
14120;GM1700;Twenterand                              ;86;14;84;16;1.0;1.0;0.9;0.8;4;591
14159;GM1730;Tynaarlo                                ;88;12;87;13;1.4;1.4;1.0;0.9;4;510
14220;GM0737;Tytsjerksteradiel                       ;89;11;86;14;1.6;1.4;0.9;0.8;5;472
14262;GM0856;Uden                                    ;75;25;85;15;1.0;0.8;0.6;0.6;3;1364
14292;GM0450;Uitgeest                                ;80;20;79;21;0.9;0.7;0.7;0.5;3;1094
14300;GM0451;Uithoorn                                ;71;29;84;16;1.5;0.8;0.7;0.8;3;1432
14323;GM0184;Urk                                     ;86;14;69;31;0.6;0.7;1.2;0.5;3;1064
14336;GM0344;Utrecht                                 ;44;56;74;26;0.6;0.6;0.4;0.5;1;3394
14458;GM1581;Utrechtse Heuvelrug                     ;75;25;89;11;1.0;1.1;0.8;0.7;4;781
14496;GM0981;Vaals                                   ;52;48;84;16;1.4;1.3;1.0;1.0;3;1039
14508;GM0994;Valkenburg aan de Geul                  ;64;36;91;9;1.0;1.2;1.0;1.1;4;676
14547;GM0858;Valkenswaard                            ;76;24;85;15;0.9;1.0;0.5;0.6;3;1463
14571;GM0047;Veendam                                 ;79;21;89;11;1.2;1.2;0.8;0.8;3;1001
14592;GM0345;Veenendaal                              ;60;40;83;17;1.0;0.8;0.6;0.7;2;2197
14635;GM0717;Veere                                   ;87;13;86;14;0.9;1.1;0.8;0.8;5;343
14687;GM0861;Veldhoven                               ;79;21;83;17;0.8;0.8;0.6;0.7;2;1676
14708;GM0453;Velsen                                  ;62;38;90;10;0.6;0.6;0.5;0.6;2;1829
14782;GM0983;Venlo                                   ;69;31;87;13;0.9;0.7;0.6;0.6;2;1638
14918;GM0984;Venray                                  ;82;18;84;16;1.6;1.3;0.8;0.9;4;993
14974;GM1961;Vijfheerenlanden                        ;79;21;83;17;1.3;1.1;0.8;0.7;4;901
15034;GM0622;Vlaardingen                             ;38;62;91;9;0.6;0.7;0.4;0.6;1;2775
15083;GM0096;Vlieland                                ;74;26;89;11;0.6;0.5;0.7;0.7;5;204
15087;GM0718;Vlissingen                              ;63;37;89;11;0.7;0.7;0.5;0.7;2;1942
15138;GM0986;Voerendaal                              ;88;12;88;12;1.0;1.2;0.8;0.9;4;543
15161;GM0626;Voorschoten                             ;64;36;84;16;0.7;0.8;0.5;0.6;2;1853
15175;GM0285;Voorst                                  ;83;17;82;18;1.5;1.5;1.0;0.9;4;584
15211;GM0865;Vught                                   ;76;24;88;12;1.0;0.9;0.5;0.8;3;1294
15232;GM1949;Waadhoeke                               ;90;10;89;11;1.5;1.6;0.8;0.8;5;472
15376;GM0866;Waalre                                  ;84;16;87;13;0.8;0.9;0.7;0.8;4;836
15383;GM0867;Waalwijk                                ;76;24;83;17;0.8;0.9;0.6;0.6;3;1302
15410;GM0627;Waddinxveen                             ;68;32;85;15;0.8;0.8;0.6;0.7;2;1550
15437;GM0289;Wageningen                              ;48;52;78;22;0.8;0.7;0.6;0.6;2;1999
15483;GM0629;Wassenaar                               ;72;28;92;8;1.1;1.2;0.6;0.7;3;1443
15507;GM0852;Waterland                               ;85;15;91;9;1.0;2.0;0.9;0.7;4;660
15533;GM0988;Weert                                   ;74;26;85;15;0.9;0.9;0.7;0.7;3;1322
15588;GM0457;Weesp                                   ;51;49;89;11;0.8;0.7;0.6;0.7;2;1760
15616;GM1960;West Betuwe                             ;90;10;83;17;1.4;1.3;0.9;0.8;5;452
15695;GM0668;West Maas en Waal                       ;86;14;83;17;1.3;1.9;0.9;0.8;5;414
15720;GM1969;Westerkwartier                          ;90;10;82;18;1.5;1.4;1.0;0.9;5;471
15819;GM1701;Westerveld                              ;91;9;91;9;2.2;2.3;1.3;1.4;5;211
15883;GM0293;Westervoort                             ;87;13;91;9;0.9;0.6;0.6;0.6;3;1150
15891;GM1950;Westerwolde                             ;85;15;89;11;1.9;2.1;1.3;1.2;5;287
15961;GM1783;Westland                                ;76;24;76;24;0.8;0.9;0.6;0.7;3;1414
